"cluster","long","lat","X","Y","meanwg.sar","num.sar","sigmawg.sar","sigmaindiv.sar","meanwg.anch","num.anch","sigmawg.anch","sigmaindiv.anch","meanwg.mack","num.mack","sigmawg.mack","sigmaindiv.mack","meanwg.jack","num.jack","sigmawg.jack","sigmaindiv.jack","meanwg.her","num.her","sigmawg.her","sigmaindiv.her","CPS.num","CPS.wg","weighted.num","weighted.wg","prop.sar","prop.sar.wg","prop.anch","prop.anch.wg","prop.mack","prop.mack.wg","prop.jack","prop.jack.wg","prop.her","prop.her.wg","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16","L17","L18","L19","L20","L21","L22","L23","L24","L25","L26","L27","L28","L29","L30","L31","L32","L33","L34","L35","L36","L37","L38","L39","L40","L(all)","species"
1,-128.941233333333,50.0494666666667,-657942.952255185,1356884.17416378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Scomber japonicus"
2,-128.042533333333,50.1115666666667,-591410.786951217,1357647.99749232,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0.106155381855062,1579.09985422741,0.00158062037887485,0.000167791347611108,1579.09985422741,149.617,0.264959292553321,0.264959311938737,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Scomber japonicus"
3,-127.069216666667,49.3525333333333,-526101.604866092,1269987.9150861,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0.11409707152513,1,0.00155076881447383,0.000176938167398503,1,0.1035,0.000176938167398503,0.000176938180343963,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Scomber japonicus"
4,-125.76275,48.8704333333333,-432186.081222194,1211149.52702673,0,0,1,1,0.0146209819327233,61.740614334471,0.00181454610913408,2.65315860230082e-05,0,0,1,1,0,0,1,1,0.0338103422619675,1634.44229078531,0.00242468014365766,8.19792595349521e-05,1696.18290511978,53.6035,0.135628445171519,0.135628384581488,0,0,0.0120776760233212,0.0120771624030892,0,0,0,0,0.987922323976679,0.987922837596911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Scomber japonicus"
5,-125.937333333333,48.5511166666667,-447436.454673197,1177286.28896639,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0.104421939017648,1118.47295799597,0.00159726732083005,0.000166789738567634,1118.47295799597,108.143,0.186549812259115,0.186549825907799,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Scomber japonicus"
6,-125.25925,48.3292,-397732.156554237,1150134.78882634,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0.109565304495905,8022.47543608535,0.00157069870201502,0.000172094068966551,8022.47543608535,784.732,1.38062044098014,1.38062054199151,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Scomber japonicus"
7,-125.324625,47.991475,-404738.221314711,1113641.02604442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Scomber japonicus"
8,-125.040583333333,47.6269,-385284.04311828,1072705.35140557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Scomber japonicus"
9,-124.596275,47.28525,-353161.037220339,1033664.42879318,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0.035305710177937,224.91642314436,0.00239786637970024,8.4658369253192e-05,224.91642314436,8.133,0.0190410576016624,0.0190410589947776,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Scomber japonicus"
10,-124.43465,46.96385,-342396.853983667,997924.330723348,0,0,1,1,0.0184217328692495,2,0.00167866374587922,3.09252240575197e-05,0,0,1,1,0,0,1,1,0.0705266711770495,1654.05148116192,0.00183679353369539,0.000129542924093219,1656.05148116192,114.283,0.214332515918551,0.214332528937489,0,0,0.000288572398126206,0.000288559979739705,0,0,0,0,0.999711427601874,0.99971144002026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Scomber japonicus"
11,-124.5227,46.6402,-350881.604794107,962812.373629097,0,0,1,1,0,0,1,1,0,0,1,1,1.30158735382433,1,0.000356237208874044,0.00046367381994915,0.0395731017572705,15,0.00229010709182756,9.06266343493546e-05,16,2.038,0.00182307333518947,0.00182307346073122,0,0,0,0,0,0,0.254336351149012,0.254336347941874,0.745663648850988,0.745663652058126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Scomber japonicus"
12,-124.6098,46.3339166666667,-359267.075432242,929572.138299025,0,0,1,1,0.0551767447937343,14,0.00106682381110942,5.88663948386355e-05,0,0,1,1,1.14959550729184,4,0.000379171628426782,0.000435893976011674,0.0845392390325587,3,0.00172200109128423,0.000145576651219471,21,5.4175,0.003004435385446,0.00300440010005554,0,0,0.274304294155608,0.274295727889655,0,0,0.580333966406092,0.580340814825432,0.145361739438301,0.145363457284913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Scomber japonicus"
