"cluster","lat","long","X","Y","meanwg.sar","num.sar","sigmawg.sar","sigmaindiv.sar","meanwg.anch","num.anch","sigmawg.anch","sigmaindiv.anch","meanwg.mack","num.mack","sigmawg.mack","sigmaindiv.mack","meanwg.jack","num.jack","sigmawg.jack","sigmaindiv.jack","meanwg.her","num.her","sigmawg.her","sigmaindiv.her","CPS.num","CPS.wg","weighted.num","weighted.wg","prop.sar","prop.sar.wg","prop.anch","prop.anch.wg","prop.mack","prop.mack.wg","prop.jack","prop.jack.wg","prop.her","prop.her.wg","sample.type","L1","L2","L3","L4","L5","L6","L7","L8","L9","L10","L11","L12","L13","L14","L15","L16","L17","L18","L19","L20","L21","L22","L23","L24","L25","L26","L27","L28","L29","L30","L31","L32","L33","L34","L35","L36","L37","L38","L39","L40","L41","L42","L43","L44","L45","L46","L47","L48","L49","L50","L51","L52","L53","L54","L55","L56","L57","L58","L59","L60","L(all)","species"
62,47.8202133333333,-124.665898333333,-355629.698100702,1092330.61694785,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0.0381651267833603,50,0.00233284867273368,8.9033458847253e-05,50,1854,0.00445167294236265,0.00445167326806374,0,0,0,0,0,0,0,0,1,1,"Purse seine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Trachurus symmetricus"
63,47.7391633333333,-124.593858333333,-350571.953110836,1083221.14615363,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0.0349179308395041,17,0.00240977058982676,8.4144196638337e-05,17,563,0.00143045134285173,0.00143045144750891,0,0,0,0,0,0,0,0,1,1,"Purse seine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Trachurus symmetricus"
64,47.637805,-124.489163333333,-343112.521256957,1071777.26370041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Purse seine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Trachurus symmetricus"
65,47.3884633333333,-124.48321,-343946.364863497,1044527.00592525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Purse seine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Trachurus symmetricus"
66,47.165765,-124.424373333333,-340572.530204767,1019973.72522568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Purse seine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Trachurus symmetricus"
67,47.1001666666667,-124.222498333333,-325363.172049134,1012090.64940039,0,0,1,1,0.00891859062141645,4,0.00225605287544295,2.01216767077515e-05,0,0,1,1,0,0,1,1,0.0362508682071391,25,0.00237750219999273,8.61865126083911e-05,29,917,0.00223514952204078,0.00223514622091837,0,0,0.0360095403181432,0.0360080460562941,0,0,0,0,0.963990459681857,0.963991953943706,"Purse seine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Trachurus symmetricus"
68,46.969795,-124.231856666667,-326720.8846386,997859.264513763,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0.0333104183086658,50,0.00245608422710538,8.18131870204367e-05,50,1665,0.00409065935102183,0.00409065965030981,0,0,0,0,0,0,0,0,1,1,"Purse seine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Trachurus symmetricus"
69,46.70705,-124.15613,-322140.039579126,968833.872739407,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0.0315480808952587,6,0.00249489238883615,7.87090611493182e-05,6,191,0.000472254366895909,0.000472254401447809,0,0,0,0,0,0,0,0,1,1,"Purse seine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Trachurus symmetricus"
70,46.5320683333333,-124.146583333333,-322239.614025223,949629.215266349,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0.0370331751811246,1,0.00236328872359096,8.7520078901023e-05,1,34,8.7520078901023e-05,8.75200853043201e-05,0,0,0,0,0,0,0,0,1,1,"Purse seine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Trachurus symmetricus"
71,46.3528683333333,-124.115701666667,-320694.638798695,929878.463865498,0,0,1,1,0.0468427944037412,1,0.00114571771937099,5.36709259808375e-05,0,0,1,1,0,0,1,1,0.0463852892933748,50,0.00215639550693947,0.000100025022102115,51,2197,0.0050549220310866,0.00505492009058927,0,0,0.0106175576301224,0.0106171054361736,0,0,0,0,0.989382442369878,0.989382894563826,"Purse seine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Trachurus symmetricus"
